player,salary,team
Willie Cauley-Stein,3551160,sacramento kings
Omri Casspi,2963814,sacramento kings
Georgios Papagiannis,2202240,sacramento kings
Malachi Richardson,1439880,sacramento kings
Skal Labissiere,1188840,sacramento kings
Ty Lawson,980431,sacramento kings
LaMarcus Aldridge,20575005,san antonio spurs
Kawhi Leonard,17638063,san antonio spurs
Pau Gasol,15500000,san antonio spurs
Tony Parker,14445313,san antonio spurs
Manu Ginobili,14000000,san antonio spurs
Danny Green,10000000,san antonio spurs
Patrick Mills,3578947,san antonio spurs
Dewayne Dedmon,2898000,san antonio spurs
David Lee,1551659,san antonio spurs
Kyle Anderson,1192080,san antonio spurs
Dejounte Murray,1180080,san antonio spurs
Jonathon Simmons,874636,san antonio spurs
Davis Bertans,543471,san antonio spurs
Bryn Forbes,543471,san antonio spurs
Nicolas Laprovittola,543471,san antonio spurs
DeMar DeRozan,26540100,toronto raptors
Jonas Valanciunas,14382022,toronto raptors
DeMarre Carroll,14200000,toronto raptors
Kyle Lowry,12000000,toronto raptors
Terrence Ross,10000000,toronto raptors
Cory Joseph,7315000,toronto raptors
Patrick Patterson,6050000,toronto raptors
Jared Sullinger,5628000,toronto raptors
Jakob Poeltl,2703960,toronto raptors
Lucas  Nogueira,1921320,toronto raptors
Bruno Caboclo,1589640,toronto raptors
Delon Wright,1577280,toronto raptors
Pascal Siakam,1196040,toronto raptors
Norman Powell,874636,toronto raptors
Fred VanVleet,543471,toronto raptors
Gordon Hayward,16073140,utah jazz
Derrick Favors,11050000,utah jazz
Joe Johnson,11000000,utah jazz
Alec Burks,10154495,utah jazz
George Hill,8000000,utah jazz
Boris Diaw,7000000,utah jazz
Dante Exum,3940320,utah jazz
Shelvin Mack,2433334,utah jazz
Trey Lyles,2340600,utah jazz
Joe Ingles,2150000,utah jazz
Rudy Gobert,2121287,utah jazz
Rodney Hood,1406520,utah jazz
Jeff Withey,1015696,utah jazz
Raul Neto,937800,utah jazz
Joel Bolomboy,600000,utah jazz
Bradley Beal,22116750,washington wizards
John Wall,16957900,washington wizards
Ian Mahinmi,15944154,washington wizards
Marcin Gortat,12000000,washington wizards
Markieff Morris,7400000,washington wizards
Andrew Nicholson,6088993,washington wizards
Otto Porter Jr.,5893981,washington wizards
Jason Smith,5000000,washington wizards
Trey Burke,3386598,washington wizards
Tomas Satoransky,2870813,washington wizards
Kelly Oubre,2006640,washington wizards
Marcus Thornton,980431,washington wizards
Danuel House,543471,washington wizards
Sheldon McLellan,543471,washington wizards
Daniel Ochefu,543471,washington wizards
